"city_id","name_en","name_ar","country_code","state_code","state_name","country_name","status"
"35","Sadad","سداد","BH","","Sadad","Bahrain","1"
"34","Sanad","سند","BH","","Sanad","Bahrain","1"
"33","Salmabad","سلماباد","BH","","Salmabad","Bahrain","1"
"32","Safala","سفالة","BH","","Safala","Bahrain","1"
"31","Sitrah","سترة","BH","","Sitrah","Bahrain","1"
"30","Ras Al Ruman","راس الرمان","BH","","Ras Al Ruman","Bahrain","1"
"29","Dumistan","دميستان","BH","","Dumistan","Bahrain","1"
"28","Dar Kulaib","دار كليب","BH","","Dar Kulaib","Bahrain","1"
"27","Jazirat Al Nabi Saleh","جزيرة النبي صالح","BH","","Jazirat Al Nabi Saleh","Bahrain","1"
"26","Jazirat Al Muharrq","جزيرة المحرق","BH","","Jazirat Al Muharrq","Bahrain","1"
"25","Jidd Hafs","جد حفص","BH","","Jidd Hafs","Bahrain","1"
"24","Jidhafs","جدحفص","BH","","Jidhafs","Bahrain","1"
"23","Tubli","تيبلي","BH","","Tubli","Bahrain","1"
"22","Bani Jamrah","بني جمرة","BH","","Bani Jamrah","Bahrain","1"
"21","Barbar","بربر","BH","","Barbar","Bahrain","1"
"20","Um Al Naasan","أم النعسان","BH","","Um Al Naasan","Bahrain","1"
"19","Al Hamalah","الهملة","BH","","Al Hamalah","Bahrain","1"
"18","Al Nuwaidrat","النويدرات","BH","","Al Nuwaidrat","Bahrain","1"
"17","Al Manama","المنامة","BH","","Al Manama","Bahrain","1"
"16","Al Muharraq","المحرق","BH","","Al Muharraq","Bahrain","1"
"15","Al Malkiya","المالكية","BH","","Al Malkiya","Bahrain","1"
"14","Al Ghuraifa","الغريفة","BH","","Al Ghuraifa","Bahrain","1"
"13","Al Sanabis","السنابس","BH","","Al Sanabis","Bahrain","1"
"12","Al Zinj","الزنج","BH","","Al Zinj","Bahrain","1"
"11","Al Zallaq","الزلاق","BH","","Al Zallaq","Bahrain","1"
"10","Al Riffa West","غرب الرفاع","BH","","Al Riffa West","Bahrain","1"
"9","Al Riffa East","شرق الرفاع","BH","","Al Riffa East","Bahrain","1"
"8","Al Dair","الدير","BH","","Al Dur","Bahrain","1"
"7","Al Duraaz","الدراز","BH","","Al Duraaz","Bahrain","1"
"6","Al Hidd","الحد","BH","","Al Hidd","Bahrain","1"
"5","Al Juffair","الجفير","BH","","Al Juffair","Bahrain","1"
"4","Al Jisrah","الجسرة","BH","","Al Jisrah","Bahrain","1"
"3","Al Jubailat","الجبيلات","BH","","Al Jubailat","Bahrain","1"
"2","Al Badii","البديع","BH","","Al Badii","Bahrain","1"
"1","Um Al Hasam","أم الحصم","BH","","Um Al Hasam","Bahrain","1"
